64,5675,Agartala Dharmanagar Special,Agartala,Dharmanagar
65,356,Agartala Hatia Election Special,Agartala,Hatia
66,5908,Agartala Howrah One Way Special,Agartala,Howrah Junction
67,12097,Agartala Jiribam Jan Shatabdi Express,Agartala,Jiribam
68,1666,Agartala Rani Kamlapati Special Fare Special,Agartala,Rani Kamlapati
69,7682,Agartala Sabroom DEMU Special,Agartala,Sabroom
70,7684,Agartala Sabroom DEMU Special,Agartala,Sabroom
71,7690,Agartala Sabroom DEMU Special,Agartala,Sabroom
72,13174,Agartala Sealdah Kanchanjunga Express,Agartala,Sealdah
73,3174,Agartala Sealdah Kanchanjunga Festival Special,Agartala,Sealdah
74,7029,Agartala Secunderabad Special Fare Special,Agartala,Secunderabad Junction
75,514,Agartala Shri Mata Vaishno Devi Katra Bharat Darshan,Murkongselek,Gogamukh
76,15663,Agartala Silchar Express,Agartala,Silchar
77,5663,Agartala Silchar Express Special,Agartala,Silchar
78,55663,Agartala Silchar Passenger,Agartala,Silchar
79,55682,Agartala Udaipur Tripura Passenger,Agartala,Belonia
80,55684,Agartala Udaipur Tripura Passenger,Agartala,Belonia
81,2341,Agnibina Covid 19 Special,Howrah Junction,Asansol Junction
82,2342,Agnibina Covid 19 Special,Asansol Junction,Howrah Junction
83,12341,Agnibina Express,Howrah Junction,Asansol Junction
84,12342,Agnibina Express,Asansol Junction,Howrah Junction
85,11902,Agra Cantonment Jhansi Junction Express,Agra Cantonment,Virangana Lakshmibai
86,12547,Agra Cantt Ahmedabad Super Fast Express,Agra Cantonment,Ahmedabad Junction
87,2547,Agra Cantt Ahmedabad Super Fast Special,Agra Cantonment,Ahmedabad Junction
88,9642,Agra Cantt Ajmer Exam Special,Agra Cantonment,Ajmer Junction
89,9644,Agra Cantt Ajmer Exam Special,Agra Cantonment,Ajmer Junction
90,64952,Agra Cantt Bayana MEMU,Agra Cantonment,Bayana Junction
91,51901,Agra Cantt Delhi Passenger,Agra Cantonment,Delhi Junction
92,64160,Agra Cantt Etawah MEMU,Agra Cantonment,Etawah Junction
93,51882,Agra Cantt Gwalior Fast Passenger,Agra Cantonment,Gwalior Junction
94,64953,Agra Cantt Hazrat Nizamuddin MEMU,Agra Cantonment,Hazrat Nizamuddin
95,20976,Agra Cantt Howrah Chambal Express,Agra Cantonment,Howrah Junction
96,4976,Agra Cantt Howrah Chambal Super Fast Special,Agra Cantonment,Howrah Junction
97,1808,Agra Cantt Jhansi Covid 19 Special,Agra Cantonment,Jhansi Junction
98,1806,Agra Cantt Jhansi Express Special,Agra Cantonment,Jhansi Junction
99,51816,Agra Cantt Jhansi Passenger,Agra Cantonment,Jhansi Junction
100,51832,Agra Cantt Jhansi Passenger,Agra Cantonment,Jhansi Junction
101,13168,Agra Cantt Kolkata Weekly Express,Agra Cantonment,Kolkata
102,3168,Agra Cantt Kolkata Weekly Special,Agra Cantonment,Kolkata
103,12320,Agra Cantt Kolkata Weekly Super Fast Express,Agra Cantonment,Kolkata
104,2320,Agra Cantt Kolkata Weekly Super Fast Special,Agra Cantonment,Kolkata
105,71909,Agra Cantt Mainpuri DEMU,Agra Cantonment,Mainpuri Junction
106,1909,Agra Cantt Mainpuri DEMU Special,Agra Cantonment,Mainpuri Junction
107,14211,Agra Cantt New Delhi Intercity Express,Agra Cantonment,New Delhi
108,4211,Agra Cantt New Delhi Intercity Special,Agra Cantonment,New Delhi
109,64957,Agra Cantt Palwal MEMU,Agra Cantonment,Palwal
110,4495,Agra Cantt Palwal MEMU Express Special,Agra Cantonment,Palwal
111,64955,Agra Cantt Tundla MEMU,Agra Cantonment,Tundla Junction
112,2924,Agra Fort Ajmer Intercity Special,Agra Fort,Ajmer Junction
113,12195,Agra Fort Ajmer Intercity Super Fast Express,Agra Fort,Ajmer Junction
114,4195,Agra Fort Ajmer Intercity Super Fast Special,Agra Fort,Ajmer Junction
115,22988,Agra Fort Ajmer Super Fast Express,Agra Fort,Ajmer Junction
116,1913,Agra Fort Etah Express Special,Agra Fort,Etah
117,4191,Agra Fort Etah Passenger Special,Kanpur Central,Phaphund
118,55334,Agra Fort Kasganj Passenger,Agra Fort,Kasganj Junction
119,5414,Agra Fort Kasganj Passenger Special,Agra Fort,Kasganj Junction
120,59814,Agra Fort Kota Passenger,Agra Fort,Kota Junction
121,5914,Agra Fort Kota Passenger Special,Agra Fort,Kota Junction
122,2180,Agra Fort Lucknow Junction Intercity Covid 19 Special,Agra Fort,Lucknow Junction
123,12180,Agra Fort Lucknow Junction Intercity Super Fast Express,Agra Fort,Lucknow Junction
124,15055,Agra Fort Ramnagar Tri weekly Express,Agra Fort,Ramnagar
125,5055,Agra Fort Ramnagar Tri weekly Special,Agra Fort,Ramnagar
126,11808,Agra Jhansi Express,Agra Cantonment,Virangana Lakshmibai
127,82612,Ahemdabad Chennai Suvidha Special,Tirunelveli Junction,Chennai Egmore
128,22645,Ahilya Nagari Express,Indore Junction,Trivandrum Kochuveli
129,22646,Ahilya Nagari Super Fast Express,Trivandrum Kochuveli,Indore Junction
130,2645,Ahilya Nagari Super Fast Festival Special,Indore Junction,Trivandrum Kochuveli
131,2646,Ahilya Nagari Super Fast Special,Trivandrum Kochuveli,Indore Junction
132,73042,Ahmadpur Katwa DEMU,Ahmadpur Junction,Katwa Junction
133,3056,Ahmadpur Katwa Express Special,Ahmadpur Junction,Katwa Junction
134,53056,Ahmadpur Katwa Passenger,Ahmadpur Junction,Katwa Junction
135,52939,Ahmedabad - Botad (Meter Gauge) Passenger,Ahmedabad Junction MG,Botad Junction
136,22920,Ahmedabad - Chennai Central HumSafar Express,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
137,52920,Ahmedabad - Himmatnagar (Meter Gauge) Passenger,Ahmedabad Junction MG,Himmatnagar Junction
138,52922,Ahmedabad - Himmatnagar Passenger,Ahmedabad Junction MG,Himmatnagar Junction
139,9425,Ahmedabad - Jaipur Puja Special,Mumbai Central,Ahmedabad Junction
140,9418,Ahmedabad - Karmali Specialfare Ganpati Special,Ahmedabad Junction,Sawantwadi Road
141,52924,Ahmedabad - Khed Brahma (Meter Gauge) Passenger,Ahmedabad Junction MG,Khed Brahma
142,52926,Ahmedabad - Khed Brahma (Meter Gauge) Passenger,Ahmedabad Junction MG,Khed Brahma
143,19912,Ahmedabad - Mahesana (Meter Gauge) InterCity Express,Ahmedabad Junction MG,Mahesana Jn
144,52916,Ahmedabad - Nandol Dehegam Passenger,Ahmedabad Junction MG,Nandol Dehegam
145,52918,Ahmedabad - Nandol Dehegam Passenger,Ahmedabad Junction MG,Nandol Dehegam
146,52914,Ahmedabad - Ranuj (Meter Gauge) Passenger,Ahmedabad Junction MG,Ranuj Junction
147,52912,Ahmedabad - Ranuj MG Fast Passenger,Ahmedabad Junction MG,Ranuj Junction
148,19944,Ahmedabad - Udaipur Express,Ahmedabad Junction MG,Udaipur City
149,19130,Ahmedabad - Vadodara Inter City,Ahmedabad Junction,Vadodara Junction
150,2548,Ahmedabad Agra Cantonmentsuper Fast Special,Ahmedabad Junction,Agra Cantonment
151,12548,Ahmedabad Agra Cantt Super Fast Express,Ahmedabad Junction,Agra Cantonment
152,19417,Ahmedabad Allahabad Express,Ahmedabad Junction,Prayagraj Junction
153,79430,Ahmedabad Anand DEMU,Ahmedabad Junction,Anand Junction
154,69106,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
155,69116,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
156,69128,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
157,69130,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
158,19435,Ahmedabad Asansol Weekly Express,Ahmedabad Junction,Asansol Junction
159,19483,Ahmedabad Barauni Express To Be INT,Ahmedabad Junction,Barauni Junction
160,9483,Ahmedabad Barauni Special,Ahmedabad Junction,Barauni Junction
161,6046,Ahmedabad Chennai Special Fare Special,Rameswaram,Ernakulam Junction
162,15560,Ahmedabad Darbhanga Antyodaya Express,Ahmedabad Junction,Darbhanga Junction
163,9465,Ahmedabad Darbhanga Clone Special,Ahmedabad Junction,Darbhanga Junction
164,5560,Ahmedabad Darbhanga Jan Sadharan Special Fare Special,Ahmedabad Junction,Darbhanga Junction
165,19165,Ahmedabad Darbhanga Sabarmati Express,Ahmedabad Junction,Darbhanga Junction
166,9165,Ahmedabad Darbhanga Sabarmati Special,Ahmedabad Junction,Darbhanga Junction
167,69131,Ahmedabad Gandhinagar MEMU,Ahmedabad Junction,Gandhinagar Capital
168,19489,Ahmedabad Gorakhpur Express,Ahmedabad Junction,Gorakhpur Junction
169,19409,Ahmedabad Gorakhpur Express,Ahmedabad Junction,Gorakhpur Junction
170,9409,Ahmedabad Gorakhpur Special Fare Special,Ahmedabad Junction,Gorakhpur Junction
171,9489,Ahmedabad Gorakhpur Super Fast Special,Ahmedabad Junction,Gorakhpur Junction
172,22548,Ahmedabad Gwalior Super Fast Express,Ahmedabad Junction,Gwalior Junction
173,2248,Ahmedabad Gwalior Super Fast Special,Ahmedabad Junction,Gwalior Junction
174,2917,Ahmedabad Hazrat Nizamuddin Gujarat Sampark Kranti Super Fast Special,Ahmedabad Junction,Hazrat Nizamuddin
175,9481,Ahmedabad Howrah One Way Festival Special,Ahmedabad Junction,Howrah Junction
176,12833,Ahmedabad Howrah Super Fast Express,Ahmedabad Junction,Howrah Junction
177,2833,Ahmedabad Howrah Super Fast Special,Ahmedabad Junction,Howrah Junction
178,7017,Ahmedabad Hyderabad Special Fare Special,Rajkot Junction,Secunderabad Junction
179,54805,Ahmedabad Jaipur Passenger,Ahmedabad Junction,Jaipur Junction
180,19223,Ahmedabad Jammu Tawi Express,Ahmedabad Junction,Jammu Tawi
181,9221,Ahmedabad Jammu Tawi Special,Ahmedabad Junction,Jammu Tawi
182,54804,Ahmedabad Jodhpur Passenger,Ahmedabad Junction,Jodhpur Junction
183,20949,Ahmedabad Kevadiya - Janshatabdhi,Ahmedabad Junction,Kevadiya
184,20947,Ahmedabad Kevadiya Jan Shatabdi Express,Ahmedabad Junction,Kevadiya
185,9247,Ahmedabad Kevadiya Jan Shatabdi Super Fast Special,Ahmedabad Junction,Kevadiya
186,9249,Ahmedabad Kevadiya Jan Shatabdi Super Fast Special,Ahmedabad Junction,Kevadiya
187,1049,Ahmedabad Kolhapur Weekly Super Fast Special,Ahmedabad Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
188,19401,Ahmedabad Lucknow Express,Ahmedabad Junction,Lucknow Charbagh NR
189,9411,Ahmedabad Lucknow Special Fare Special,Ahmedabad Junction,Lucknow Charbagh NR
190,52904,Ahmedabad Mahesana (Meter Gauge) Passenger,Ahmedabad Junction MG,Mahesana Jn
191,52908,Ahmedabad Mahesana (Meter Gauge) Passenger,Ahmedabad Junction MG,Mahesana Jn
192,52910,Ahmedabad Mahesana MG Fast Passenger,Ahmedabad Junction MG,Mahesana Jn
193,19916,Ahmedabad Mahesana MG InterCity Express,Ahmedabad Junction MG,Mahesana Jn
194,52902,Ahmedabad Mahesana Passenger,Ahmedabad Junction MG,Mahesana Jn
195,52906,Ahmedabad Mahesana Passenger,Ahmedabad Junction MG,Mahesana Jn
196,19420,Ahmedabad MGR Chennai Express,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
197,20954,Ahmedabad MGR Chennai Express,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
198,9220,Ahmedabad MGR Chennai Humsafar Special,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
199,6052,Ahmedabad MGR Chennai Special Fare Special,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
200,9054,Ahmedabad MGR Chennai Super Fast Special,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
201,82652,Ahmedabad MGR Chennai Suvidha Special,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
202,12932,Ahmedabad Mumbai AC Double Decker Express,Ahmedabad Junction,Mumbai Central
203,2932,Ahmedabad Mumbai AC Double Decker Special,Ahmedabad Junction,Mumbai Central
204,82902,Ahmedabad Mumbai Irctc Tejas Express,Ahmedabad Junction,Mumbai Central
205,59440,Ahmedabad Mumbai Passenger,Ahmedabad Junction,Mumbai Central
206,59442,Ahmedabad Mumbai Passenger,Ahmedabad Junction,Mumbai Central
207,2010,Ahmedabad Mumbai Shatabdi Special,Ahmedabad Junction,Mumbai Central
208,5270,Ahmedabad Muzaffarpur Jan Sadharan Special Fare Special,Ahmedabad Junction,Muzaffarpur Junction
209,15270,Ahmedabad Muzaffarpur Jansadharan Express,Ahmedabad Junction,Muzaffarpur Junction
210,59547,Ahmedabad Okha Passenger,Ahmedabad Junction,Rajkot Junction
211,59473,Ahmedabad Patan Passenger,Ahmedabad Junction,Patan
212,9447,Ahmedabad Patna Clone Special,Ahmedabad Junction,Patna Junction
213,19421,Ahmedabad Patna Express,Ahmedabad Junction,Patna Junction
214,9421,Ahmedabad Patna Special Fare Special,Ahmedabad Junction,Patna Junction
215,22967,Ahmedabad Prayagraj Super Fast Express,Ahmedabad Junction,Prayagraj Junction
216,9267,Ahmedabad Prayagraj Weekly Super Fast Special,Ahmedabad Junction,Prayagraj Junction
217,12297,Ahmedabad Pune AC Duronto Express,Ahmedabad Junction,Pune Junction
218,2297,Ahmedabad Pune AC Duronto Special,Ahmedabad Junction,Pune Junction
219,11095,Ahmedabad Pune Ahimsa Express,Ahmedabad Junction,Pune Junction
220,1095,Ahmedabad Pune Ahimsa Special,Ahmedabad Junction,Pune Junction
221,22185,Ahmedabad Pune Double Decker Express,Ahmedabad Junction,Pune Junction
222,18406,Ahmedabad Puri Express,Ahmedabad Junction,Puri
223,20862,Ahmedabad Puri Express,Ahmedabad Junction,Puri
224,12844,Ahmedabad Puri Super Fast Express,Ahmedabad Junction,Puri
225,8406,Ahmedabad Puri Super Fast Special,Ahmedabad Junction,Puri
226,2844,Ahmedabad Puri Super Fast Special,Ahmedabad Junction,Puri
227,11049,Ahmedabad Scsmt Kolhapur Express,Ahmedabad Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
228,19415,Ahmedabad Shri Mata Vaishno Devi Katra Express,Ahmedabad Junction,Shri Mata Vaishno Devi Katra
229,9415,Ahmedabad Shri Mata Vaishno Devi Katra Weekly Special,Ahmedabad Junction,Shri Mata Vaishno Devi Katra
230,19119,Ahmedabad Somnath Intercity Express,Ahmedabad Junction,Somnath
231,9419,Ahmedabad Somnath Intercity Special,Ahmedabad Junction,Somnath
232,19403,Ahmedabad Sultanpur Express,Ahmedabad Junction,Sultanpur Junction
233,9403,Ahmedabad Sultanpur Special Fare Special,Ahmedabad Junction,Sultanpur Junction
234,20939,Ahmedabad Sultanpur Super Fast Express,Ahmedabad Junction,Sultanpur Junction
235,19036,Ahmedabad Vadodara Intercity Express,Ahmedabad Junction,Vadodara Junction
236,69102,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
237,69108,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
238,69114,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
239,9316,Ahmedabad Vadodara MEMU Special,Ahmedabad Junction,Vadodara Junction
240,19167,Ahmedabad Varanasi Sabarmati Express,Ahmedabad Junction,Varanasi Junction
241,9167,Ahmedabad Varanasi Sabarmati Special Fare Special,Ahmedabad Junction,Varanasi Junction
242,9407,Ahmedabad Varanasi Special Fare Special,Ahmedabad Junction,Varanasi Junction
243,19407,Ahmedabad Varanasi Weekly Express,Ahmedabad Junction,Varanasi Junction
244,9459,Ahmedabad Viramgam MEMU Special,Ahmedabad Junction,Viramgam Junction
245,6501,Ahmedabad Yesvantpur Festival Special,Ahmedabad Junction,Yesvantpur Junction
246,16501,Ahmedabad Yesvantpur Weekly Express,Ahmedabad Junction,Yesvantpur Junction
247,15313,Aishbagh - Bareilly Express (Meter Gauge),Aishbagh,Tanakpur
248,52244,Aishbagh - Bareilly Passenger (Meter Gauge),Sitapur,Mailani Junction
249,52242,Aishbagh - Mailani Passenger,Mailani Junction,Bahraich
250,52246,Aishbagh - Mailani Passenger,Aishbagh,Mailani Junction
251,52238,Aishbagh - Pilibhit Passenger (Meter Gauge),Sitapur,Mailani Junction
252,52240,Aishbagh - Tikunia Passenger,Mailani Junction,Tikunia
253,15314,Aishbagh Express (Meter Gauge),Tanakpur,Aishbagh
254,15070,Aishbagh Gorakhpur Intercity Express,Aishbagh,Gorakhpur Junction
255,5070,Aishbagh Gorakhpur Special,Aishbagh,Gorakhpur Junction
256,64253,Aishbagh Kanpur Kalianpur MEMU,Aishbagh,Kalianpur
257,51861,Ait Konch Shuttle,Ait Junction,Konch
258,51863,Ait Konch Shuttle,Ait Junction,Konch
259,51865,Ait Konch Shuttle,Ait Junction,Konch
260,51867,Ait Konch Shuttle,Ait Junction,Konch
261,51869,Ait Konch Shuttle,Ait Junction,Konch
262,1863,Ait Konch Shuttle Express Special,Ait Junction,Konch
263,1865,Ait Konch Shuttle Express Special,Ait Junction,Konch
264,17063,Ajanta Express,Manmad Junction,Secunderabad Junction
265,17064,Ajanta Express,Secunderabad Junction,Manmad Junction
266,7064,Ajanta Express Special,Secunderabad Junction,Manmad Junction
267,7063,Ajanta Express Special,Manmad Junction,Secunderabad Junction
268,9627,Ajmer - Delhi Canttonment Specialfare Super Fast Special,Ajmer Junction,Delhi Cantonment
269,54802,Ajmer - Jodhpur Fast Passenger,Ajmer Junction,Jodhpur Junction
270,19603,Ajmer - Rameswaram Humsafar Express,Ajmer Junction,Rameswaram
271,19654,Ajmer - Ratlam Express,Ajmer Junction,Indore Junction
272,9641,Ajmer Agra Cantt Exam Special,Ajmer Junction,Agra Cantonment
273,9643,Ajmer Agra Cantt Exam Special,Ajmer Junction,Agra Cantonment
274,2923,Ajmer Agra Fort Intercity Special,Ajmer Junction,Agra Fort
275,12196,Ajmer Agra Fort Intercity Super Fast Express,Ajmer Junction,Agra Fort
276,4196,Ajmer Agra Fort Intercity Super Fast Special,Ajmer Junction,Agra Fort
277,22987,Ajmer Agra Fort Super Fast Express,Ajmer Junction,Agra Fort
278,19611,Ajmer Amritsar Express,Ajmer Junction,Amritsar Junction
279,19613,Ajmer Amritsar Express,Ajmer Junction,Amritsar Junction
280,9611,Ajmer Amritsar Festival Special,Ajmer Junction,Amritsar Junction
281,9613,Ajmer Amritsar Festival Special,Ajmer Junction,Amritsar Junction
282,20902,Ajmer Bandra Link Express,Ajmer Junction,Chittaurgarh Junction
283,22996,Ajmer Bandra Super Fast Express,Ajmer Junction,Chittaurgarh Junction
284,12996,Ajmer Bandra Super Fast Express,Ajmer Junction,Bandra Terminus
285,2996,Ajmer Bandra Super Fast Special,Ajmer Junction,Bandra Terminus
286,9621,Ajmer Bandra Super Fast Special Fare Special,Ajmer Junction,Bandra Terminus
287,9676,Ajmer Barmer Exam Special,Ajmer Junction,Barmer
288,13424,Ajmer Bhagalpur Weekly Express,Ajmer Junction,Bhagalpur Junction
289,3424,Ajmer Bhagalpur Weekly Special,Ajmer Junction,Bhagalpur Junction
290,9823,Ajmer Bhopal Exam Special,Ajmer Junction,Bhopal Junction
291,12983,Ajmer Chandigarh Garib Rath Express,Ajmer Junction,Chandigarh Junction
292,9683,Ajmer Chandigarh Garib Rath Super Fast Special,Ajmer Junction,Chandigarh Junction
293,12990,Ajmer Dadar Western Super Fast Express,Ajmer Junction,Dadar (WR)
294,2990,Ajmer Dadar Western Super Fast Special Fare Special,Ajmer Junction,Dadar (WR)
295,12065,Ajmer Delhi Sarai Rohilla Jan Shatabdi Express,Ajmer Junction,Delhi Sarai Rohilla
296,2065,Ajmer Delhi Sarai Rohilla Jan Shatabdi Special,Ajmer Junction,Delhi Sarai Rohilla
297,9623,Ajmer Delhi Sarai Rohilla Special,Ajmer Junction,Delhi Sarai Rohilla
298,18208,Ajmer Durg Weekly Express,Ajmer Junction,Durg Junction
299,18214,Ajmer Durg Weekly Express,Ajmer Junction,Durg Junction
300,8214,Ajmer Durg Weekly Special,Ajmer Junction,Durg Junction
301,8218,Ajmer Durg Weekly Special,Ajmer Junction,Durg Junction
302,22211,Ajmer Hazrat Nizamuddin Duronto,Ajmer Junction,Hazrat Nizamuddin
303,7126,Ajmer Hyderabad URS Special,Ajmer Junction,Hyderabad Deccan
304,79601,Ajmer Jaipur DEMU,Ajmer Junction,Jaipur Junction
305,9605,Ajmer Jaipur DEMU Special,Ajmer Junction,Jaipur Junction
306,9640,Ajmer Jaipur Passenger Special,Ajmer Junction,Jaipur Junction
307,2264,Ajmer Junction-Sealdah Special,Hazrat Nizamuddin,Pune Junction
308,7130,Ajmer Kacheguda URS Special Fare Special,Ajmer Junction,Kacheguda
309,9619,Ajmer Karmali Weekly Special Fare Special,Ajmer Junction,Karmali
310,15716,Ajmer Kishanganj Garib Nawaz Express,Ajmer Junction,Kishanganj
311,5716,Ajmer Kishanganj Garib Nawaz Special,Ajmer Junction,Kishanganj
312,16531,Ajmer KSR Bengaluru Garib Nawaz Express,Ajmer Junction,KSR Bengaluru City Junction
313,6206,Ajmer KSR Bengaluru Garib Nawaz Festival Special,Ajmer Junction,KSR Bengaluru City Junction
314,59602,Ajmer Marwar Passenger,Ajmer Junction,Marwar Junction
315,9615,Ajmer Marwar Passenger Special,Ajmer Junction,Marwar Junction
316,16209,Ajmer Mysuru Express,Ajmer Junction,Mysuru City Junction
317,6209,Ajmer Mysuru Festival Special,Ajmer Junction,Mysuru City Junction
318,12016,Ajmer New Delhi Shatabdi Express,Ajmer Junction,New Delhi
319,4052,Ajmer New Delhi Shatabdi Special,Ajmer Junction,New Delhi
320,18422,Ajmer Puri Express,Ajmer Junction,Puri
321,20824,Ajmer Puri Super Fast Express,Ajmer Junction,Puri
322,2038,Ajmer Puri Super Fast Special,Ajmer Junction,Puri
323,9655,Ajmer Pushkar Mela Special,Ajmer Junction,Pushkar Terminus
324,9657,Ajmer Pushkar Mela Special,Ajmer Junction,Pushkar Terminus
325,59607,Ajmer Pushkar Passenger,Ajmer Junction,Pushkar Terminus
326,20973,Ajmer Rameswaram Humsafar Express,Ajmer Junction,Rameswaram
327,18632,Ajmer Ranchi Garib Nawaz Express,Chopan,Ranchi Junction
328,19412,Ajmer Sabarmati Intercity Express,Ajmer Junction,Ahmedabad Junction
329,18010,Ajmer Santragachi Express,Ajmer Junction,Santragachi?ÿJunction
330,12988,Ajmer Sealdah Super Fast Express,Ajmer Junction,Sealdah
331,2988,Ajmer Sealdah Super Fast Special Fare Special,Ajmer Junction,Sealdah
332,7132,Ajmer Vijayawada Machilipatnam URS Link Special,Vijayawada Junction,Machilipatnam
333,12120,Ajni Amravati Intercity Super Fast Express,Ajni,Amravati?ÿTerminal
334,7630,Ajni Hazur Sahib Nanded Special Fare Special,Ajni,Hazur Sahib Nanded
335,57135,Ajni Kazipet Passenger,Ajni,Kazipet Junction
336,11202,Ajni Mumbai LTT Express,Ajni,Lokmanya Tilak Terminus
337,2224,Ajni Pune AC Special,Ajni,Pune Junction
338,22124,Ajni Pune AC Super Fast Express,Ajni,Pune Junction
339,22140,Ajni Pune Humsafar Express,Ajni,Pune Junction
340,2240,Ajni Pune Humsafar Special,Ajni,Pune Junction
